f_id,f_ori_name,f_eng_name,langual,f_origen,edible_portion
706,Queso de tenerife,"Cheese, ""tenerife"" type",A0185 A0452 A0626 A0720 A0724 A0776 A0786 B2101 C0245 E0146 F0003 G0003 H0107 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
707,Queso de tiétar,"Cheese, ""tiétar"" type",A0312 A0452 A0626 A0720 A0724 A0776 B1328 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
708,Queso pasiego,"Cheese, ""pasiego"" type",A0314 A0452 A0626 A0720 A0724 A0776 B1328 C0245 E0146 F0003 G0003 H0107 H0288 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
709,Queso peñamellera,"Cheese, ""peñamellera"" type",A0313 A0452 A0626 A0720 A0724 A0776 B2247 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,BEDCA,1.000000
710,Queso servilleta,"Cheese, ""servilleta"" type",A0185 A0452 A0626 A0720 A0724 A0776 A0786 B2101 C0245 E0146 F0003 G0003 H0107 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
711,Queso grazalema,"Cheese, ""grazalema"" type",A0312 A0452 A0626 A0720 A0724 A0776 B2101 C0245 E0146 F0003 G0003 H0107 H0290 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
712,Queso porrúa,"Cheese, ""porrúa"" type",A0313 A0452 A0626 A0720 A0724 A0776 B2245 C0245 E0146 F0003 G0003 H0107 H0290 H0298 J0131 K0003 M0001 N0001 P0024 R0212 Z0112,BEDCA,1.000000
713,Queso picón,"Cheese, ""picón"" type",A0185 A0452 A0626 A0720 A0724 A0776 A0786 B2247 C0245 E0146 F0003 G0003 H0107 H0288 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,BEDCA,1.000000
714,Queso serrat,"Cheese, ""serrat"" type",A0311 A0452 A0626 A0720 A0724 A0776 B1183 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
715,Queso Castellano,"Cheese, ""castellano"" type",A0312 A0452 A0626 A0720 A0724 A0776 B1183 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0147,BEDCA,0.700000
